point_name,point_code,base_time,forecast_hour,valid_time,variable,value,forecast_type
설천봉,8000314,2026-05-10 20:00:00,41.0,2026-05-12 13:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,42.0,2026-05-12 14:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,43.0,2026-05-12 15:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,44.0,2026-05-12 16:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,45.0,2026-05-12 17:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,46.0,2026-05-12 18:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,47.0,2026-05-12 19:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,48.0,2026-05-12 20:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,49.0,2026-05-12 21:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,50.0,2026-05-12 22:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,51.0,2026-05-12 23:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,52.0,2026-05-13 00:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,53.0,2026-05-13 01:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,54.0,2026-05-13 02:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,55.0,2026-05-13 03:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,56.0,2026-05-13 04:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,57.0,2026-05-13 05:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,58.0,2026-05-13 06:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,59.0,2026-05-13 07:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,60.0,2026-05-13 08:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,61.0,2026-05-13 09:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,62.0,2026-05-13 10:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,63.0,2026-05-13 11:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,64.0,2026-05-13 12:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,65.0,2026-05-13 13:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,66.0,2026-05-13 14:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,67.0,2026-05-13 15:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,68.0,2026-05-13 16:00:00,PCP,0.0,SHRT
무주,8000701,2026-05-10 20:00:00,1.0,2026-05-10 21:00:00,PCP,0.0,VSRT
